Marca;Modelo;Tipo;Combustível;Impacto;Custo;Ano;Km;Cor;Cor_Tipo;Nº Portas;Dimensão;Capacidade_Carga;Ar Condicionado;Tipo de Caixa;Tração;Cavalos;Preço;Tecnologia;Segurança
Toyota;Prius;CUV;Gasolina;Baixo;Elevado;2019;167486;Azul;Fluorescente;5;Grande;Grande;Sim;Manual;4x4;408;14394.61;"PainelDigital;GPS;EcoMode;Autopilot";"ABS;ControleTração;Airbags;AssitenciaTrajetoria"
Chevrolet;Spark;Hatch Back;Gasolina;Baixo;Elevado;2006;151973;Verde;Cromado;3;Pequeno;Grande;Não;Manual;Traseira;554;3776.64;"EcoMode;Autopilot;PainelDigital";"Airbags;AssitenciaTrajetoria;ControleTração;AssistenteTravagem"
Ford;Focus;SUV;Gasolina;Baixo;Elevado;2006;202360;Preto;Cromado;3;Grande;Grande;Sim;Automática;Traseira;302;77445.21;"AssitenciaArranque;EcoMode;CruiseControl;GPS;PainelDigital;SOS;AssistenteEstacionamento";"ABS;ControleTração;Airbags"
Chevrolet;Malibu;Sedan;Gasolina;Baixo;Elevado;2004;213353;Azul;Fluorescente;3;Pequeno;Grande;Sim;Manual;Traseira;354;75645.93;"AssistenteEstacionamento;GPS;CruiseControl;AssitenciaArranque;EcoMode";"AssistenteTravagem;ABS;Airbags;AssitenciaTrajetoria;ControleTração"
Tesla;Model S;Hatch Back;Gasolina;Baixo;Elevado;1998;232717;Vermelho;Fosco;3;Pequeno;Grande;Sim;Manual;Dianteira;142;23713.93;"EcoMode;Autopilot;AssitenciaArranque;GPS;CruiseControl";"Airbags;ControleTração;AssistenteTravagem;AssitenciaTrajetoria"
Toyota;Yaris;SUPERCAR;Gasolina;Baixo;Elevado;2001;211980;Preto;Fluorescente;3;Pequeno;Pequeno;Sim;Automática;4x4;221;85290.67;"CruiseControl;Autopilot;SOS;AssitenciaArranque;PainelDigital;EcoMode;AssistenteEstacionamento";"AssitenciaTrajetoria;AssistenteTravagem;Airbags;ControleTração"
Audi;Q5;CUV;Diesel;Alto;Normal;2011;86959;Preto;Fosco;3;Grande;Grande;Sim;Manual;4x4;229;28986.05;"EcoMode;AssitenciaArranque;AssistenteEstacionamento;Autopilot;GPS;SOS";"ABS;AssitenciaTrajetoria;Airbags;AssistenteTravagem"
BMW;5 Series;Sedan;Elétrico;Sustentável;Baixo;2019;43411;Prata;Prolado;5;Pequeno;Grande;Sim;Manual;Dianteira;119;75394.45;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
BMW;X3;SUV;Elétrico;Sustentável;Baixo;2022;46233;Azul;Prolado;3;Grande;Grande;Sim;Automática;Dianteira;495;55020.69;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
BMW;3 Series;Hatch Back;Elétrico;Sustentável;Baixo;2021;52897;Vermelho;Metalico;5;Pequeno;Grande;Sim;Manual;Traseira;483;18582.92;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
BMW;3 Series;SUPERCAR;Diesel;Alto;Normal;2019;174947;Prata;Fosco;3;Pequeno;Pequeno;Sim;Automática;Dianteira;159;4212.88;"EcoMode;CruiseControl;AssitenciaArranque;GPS;AssistenteEstacionamento;SOS";"AssitenciaTrajetoria;ABS;AssistenteTravagem"
Porsche;Cayenne;SUV;Gasolina;Baixo;Elevado;2020;140218;Prata;Prolado;3;Grande;Grande;Sim;Manual;Traseira;582;111977.24;"SOS;Autopilot;PainelDigital";"Airbags;AssitenciaTrajetoria;AssistenteTravagem;ABS;ControleTração"
Porsche;Panamera;SUV;Gasolina;Baixo;Elevado;1997;213485;Prata;Prolado;3;Grande;Grande;Sim;Manual;Dianteira;160;54935.25;"SOS;GPS;CruiseControl;PainelDigital;AssitenciaArranque";"Airbags;ABS;AssistenteTravagem"
Volkswagen;Golf;Sedan;Elétrico;Sustentável;Baixo;2016;58855;Branco;Prolado;3;Pequeno;Grande;Sim;Manual;4x4;488;34764.01;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;CR-V;SUPERCAR;Elétrico;Sustentável;Baixo;2016;46897;Azul;Fosco;5;Pequeno;Pequeno;Sim;Automática;4x4;562;82985.22;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Chevrolet;Suburban;Hatch Back;Gasolina;Baixo;Elevado;2014;100569;Prata;Cromado;5;Pequeno;Grande;Sim;Manual;Traseira;402;45025.16;"EcoMode;AssitenciaArranque;GPS;PainelDigital;AssistenteEstacionamento;SOS;Autopilot";"ControleTração;AssistenteTravagem;Airbags;AssitenciaTrajetoria"
Volkswagen;Jetta;SUPERCAR;Elétrico;Sustentável;Baixo;2021;53787;Cinza;Metalico;3;Pequeno;Pequeno;Sim;Manual;4x4;544;104334.71;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;GLE;Hatch Back;Diesel;Alto;Normal;2001;212919;Vermelho;Cromado;5;Pequeno;Grande;Não;Automática;Dianteira;394;86633.79;"CruiseControl;Autopilot;AssitenciaArranque";"AssitenciaTrajetoria;ControleTração;AssistenteTravagem;ABS"
Toyota;Corolla;Hatch Back;Diesel;Alto;Normal;2017;80439;Cinza;Fosco;5;Pequeno;Grande;Sim;Automática;4x4;326;12590.27;"SOS;EcoMode;CruiseControl;GPS";"ControleTração;ABS;AssistenteTravagem;Airbags;AssitenciaTrajetoria"
Mercedes;A-Class;SUPERCAR;Gasolina;Baixo;Elevado;2019;128701;Azul;Prolado;5;Pequeno;Pequeno;Sim;Manual;Dianteira;90;96335.71;"SOS;Autopilot;GPS;AssitenciaArranque;CruiseControl;AssistenteEstacionamento";"AssistenteTravagem;ControleTração;Airbags"
Chevrolet;Malibu;CUV;Gasolina;Baixo;Elevado;2015;100649;Azul;Cromado;5;Grande;Grande;Sim;Manual;Traseira;178;100301.8;"Autopilot;CruiseControl;PainelDigital;GPS;AssitenciaArranque;SOS;AssistenteEstacionamento";"ABS;Airbags;ControleTração"
Ford;Escape;CUV;Diesel;Alto;Normal;2021;34084;Branco;Cromado;3;Grande;Grande;Sim;Automática;Dianteira;167;109279.98;"PainelDigital;GPS;AssitenciaArranque;AssistenteEstacionamento";"AssitenciaTrajetoria;AssistenteTravagem;ControleTração;Airbags"
Chevrolet;Suburban;SUPERCAR;Elétrico;Sustentável;Baixo;2023;37614;Cinza;Fosco;5;Pequeno;Pequeno;Sim;Manual;Traseira;120;109790.62;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;CR-V;SUV;Diesel;Alto;Normal;1997;176350;Azul;Cromado;5;Grande;Grande;Sim;Manual;Traseira;545;30282.02;"AssistenteEstacionamento;EcoMode;GPS;CruiseControl";"AssistenteTravagem;ABS;ControleTração;Airbags"
Porsche;Macan;CUV;Elétrico;Sustentável;Baixo;2016;51838;Verde;Prolado;3;Grande;Grande;Sim;Manual;Traseira;184;20712.29;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;Civic;SUPERCAR;Elétrico;Sustentável;Baixo;2019;37045;Preto;Fluorescente;3;Pequeno;Pequeno;Sim;Manual;4x4;69;113112.57;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;E-Class;CUV;Gasolina;Baixo;Elevado;2017;177977;Verde;Fosco;5;Grande;Grande;Sim;Manual;Dianteira;409;47826.29;"EcoMode;GPS;AssitenciaArranque;AssistenteEstacionamento;Autopilot;PainelDigital;SOS;CruiseControl";"AssitenciaTrajetoria;AssistenteTravagem;ABS;ControleTração"
Tesla;Model Y;Sedan;Elétrico;Sustentável;Baixo;2020;36799;Prata;Cromado;3;Pequeno;Grande;Sim;Automática;Traseira;515;12115.99;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Volkswagen;Tiguan;Sedan;Diesel;Alto;Normal;2000;211405;Branco;Metalico;5;Pequeno;Grande;Não;Manual;4x4;376;51324.92;"SOS;AssitenciaArranque;Autopilot;AssistenteEstacionamento;GPS";"Airbags;ControleTração;ABS;AssistenteTravagem;AssitenciaTrajetoria"
Chevrolet;Tahoe;CUV;Diesel;Alto;Normal;1997;166812;Preto;Fluorescente;3;Grande;Grande;Sim;Automática;Dianteira;231;114847.24;"AssitenciaArranque;CruiseControl;SOS";"ABS;ControleTração;Airbags;AssistenteTravagem;AssitenciaTrajetoria"
Chevrolet;Tahoe;COUPE;Gasolina;Baixo;Elevado;2002;185412;Preto;Cromado;5;Pequeno;Pequeno;Não;Automática;Dianteira;186;107119.3;"EcoMode;CruiseControl;Autopilot;SOS;AssitenciaArranque;GPS;PainelDigital";"AssistenteTravagem;AssitenciaTrajetoria;ControleTração"
Porsche;Cayenne;Sedan;Gasolina;Baixo;Elevado;2010;70186;Branco;Fluorescente;5;Pequeno;Grande;Sim;Automática;Dianteira;227;24230.57;"CruiseControl;Autopilot;EcoMode;SOS;AssitenciaArranque";"AssitenciaTrajetoria;ControleTração;AssistenteTravagem"
Chevrolet;Tahoe;SUV;Diesel;Alto;Normal;2015;163717;Cinza;Cromado;5;Grande;Grande;Sim;Automática;4x4;169;52488.27;"PainelDigital;AssitenciaArranque;GPS;EcoMode;Autopilot";"AssitenciaTrajetoria;Airbags;ABS"
Porsche;Cayenne;COUPE;Gasolina;Baixo;Elevado;1998;162002;Cinza;Fluorescente;3;Pequeno;Pequeno;Não;Automática;Traseira;267;42824.68;"CruiseControl;AssitenciaArranque;PainelDigital;GPS;AssistenteEstacionamento";"ControleTração;AssitenciaTrajetoria;Airbags;ABS;AssistenteTravagem"
Chevrolet;Suburban;COUPE;Gasolina;Baixo;Elevado;2004;243567;Cinza;Metalico;5;Pequeno;Pequeno;Sim;Automática;4x4;152;50972.97;"AssitenciaArranque;SOS;Autopilot";"AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Porsche;Panamera;Hatch Back;Gasolina;Baixo;Elevado;2001;205143;Prata;Fluorescente;3;Pequeno;Grande;Sim;Manual;Traseira;92;33018.62;"PainelDigital;AssitenciaArranque;AssistenteEstacionamento;EcoMode;GPS;SOS;Autopilot";"ABS;AssitenciaTrajetoria;Airbags"
Toyota;Prius;Hatch Back;Elétrico;Sustentável;Baixo;2021;58461;Branco;Metalico;3;Pequeno;Grande;Sim;Automática;Traseira;177;64297.54;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;Accord;Sedan;Diesel;Alto;Normal;2021;54570;Verde;Metalico;5;Pequeno;Grande;Sim;Manual;Dianteira;467;64337.08;"AssitenciaArranque;SOS;CruiseControl;GPS";"Airbags;AssitenciaTrajetoria;ControleTração;AssistenteTravagem"
Chevrolet;Malibu;Sedan;Gasolina;Baixo;Elevado;2005;243632;Vermelho;Prolado;3;Pequeno;Grande;Sim;Automática;Dianteira;517;21768.77;"SOS;CruiseControl;Autopilot;AssitenciaArranque;GPS";"ControleTração;ABS;Airbags;AssitenciaTrajetoria;AssistenteTravagem"
Mercedes;E-Class;SUPERCAR;Elétrico;Sustentável;Baixo;2017;43025;Azul;Cromado;3;Pequeno;Pequeno;Sim;Manual;Dianteira;499;112629.42;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Volkswagen;Passat;CUV;Elétrico;Sustentável;Baixo;2018;46041;Preto;Fosco;3;Grande;Grande;Sim;Automática;Dianteira;222;73067.76;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;Fit;CUV;Elétrico;Sustentável;Baixo;2023;48568;Prata;Fluorescente;3;Grande;Grande;Sim;Automática;Traseira;569;28787.59;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;E-Class;Hatch Back;Diesel;Alto;Normal;1997;248311;Preto;Metalico;3;Pequeno;Grande;Não;Manual;Dianteira;416;8865.91;"CruiseControl;SOS;EcoMode;AssitenciaArranque";"ControleTração;Airbags;ABS;AssistenteTravagem;AssitenciaTrajetoria"
Volkswagen;Golf;SUV;Gasolina;Baixo;Elevado;2019;120258;Vermelho;Fosco;5;Grande;Grande;Sim;Automática;Dianteira;61;49243.41;"CruiseControl;GPS;AssistenteEstacionamento;AssitenciaArranque";"AssistenteTravagem;ControleTração;AssitenciaTrajetoria;ABS"
Mercedes;A-Class;SUPERCAR;Elétrico;Sustentável;Baixo;2018;44729;Preto;Fluorescente;3;Pequeno;Pequeno;Sim;Manual;Dianteira;310;27240.66;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Porsche;911;Sedan;Elétrico;Sustentável;Baixo;2017;35281;Azul;Cromado;5;Pequeno;Grande;Sim;Automática;Dianteira;329;54143.47;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Ford;Focus;SUPERCAR;Diesel;Alto;Normal;2007;219020;Prata;Fosco;5;Pequeno;Pequeno;Não;Manual;Dianteira;466;69992.4;"PainelDigital;GPS;CruiseControl;Autopilot;SOS;AssistenteEstacionamento;EcoMode";"ControleTração;AssitenciaTrajetoria;ABS;Airbags;AssistenteTravagem"
Volkswagen;Golf;SUV;Gasolina;Baixo;Elevado;2000;220456;Prata;Prolado;3;Grande;Grande;Não;Automática;Dianteira;428;96068.86;"EcoMode;GPS;PainelDigital;AssitenciaArranque";"ABS;ControleTração;Airbags"
Honda;HR-V;Sedan;Diesel;Alto;Normal;2009;138641;Prata;Prolado;3;Pequeno;Grande;Sim;Automática;Traseira;233;40354.69;"PainelDigital;GPS;EcoMode";"ControleTração;AssitenciaTrajetoria;Airbags"
Honda;Civic;COUPE;Diesel;Alto;Normal;2016;102851;Vermelho;Prolado;5;Pequeno;Pequeno;Sim;Manual;Traseira;395;106083.45;"SOS;EcoMode;CruiseControl";"Airbags;AssistenteTravagem;ABS;ControleTração;AssitenciaTrajetoria"
Porsche;Cayenne;SUV;Elétrico;Sustentável;Baixo;2022;42709;Cinza;Prolado;3;Grande;Grande;Sim;Automática;Traseira;405;43075.15;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
BMW;3 Series;SUV;Diesel;Alto;Normal;2018;107610;Azul;Fosco;3;Grande;Grande;Sim;Manual;Traseira;146;15200.43;"CruiseControl;GPS;AssistenteEstacionamento;PainelDigital";"AssitenciaTrajetoria;AssistenteTravagem;ABS"
BMW;X5;SUPERCAR;Diesel;Alto;Normal;2023;33701;Preto;Metalico;3;Pequeno;Pequeno;Sim;Manual;Traseira;177;115841.91;"GPS;Autopilot;AssistenteEstacionamento;PainelDigital;EcoMode;CruiseControl";"ControleTração;AssistenteTravagem;AssitenciaTrajetoria"
Volkswagen;Polo;SUV;Elétrico;Sustentável;Baixo;2018;43795;Vermelho;Fluorescente;3;Grande;Grande;Sim;Manual;Traseira;61;7734.68;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Toyota;Prius;CUV;Gasolina;Baixo;Elevado;2008;165857;Vermelho;Fluorescente;3;Grande;Grande;Sim;Automática;Traseira;474;41437.05;"SOS;AssistenteEstacionamento;PainelDigital;AssitenciaArranque;Autopilot";"ABS;AssistenteTravagem;ControleTração;Airbags;AssitenciaTrajetoria"
Ford;Mustang;CUV;Elétrico;Sustentável;Baixo;2016;56616;Prata;Metalico;3;Grande;Grande;Sim;Automática;Dianteira;471;50138.08;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Audi;A3;SUPERCAR;Diesel;Alto;Normal;2010;163193;Branco;Prolado;3;Pequeno;Pequeno;Sim;Manual;Traseira;365;68952.09;"AssitenciaArranque;GPS;AssistenteEstacionamento;CruiseControl;PainelDigital;SOS;EcoMode";"AssitenciaTrajetoria;ABS;Airbags;AssistenteTravagem"
Toyota;Prius;CUV;Gasolina;Baixo;Elevado;1998;229914;Preto;Metalico;3;Grande;Grande;Não;Manual;Dianteira;157;29181.43;"PainelDigital;EcoMode;CruiseControl;SOS;AssitenciaArranque;Autopilot";"AssistenteTravagem;AssitenciaTrajetoria;Airbags"
Volkswagen;Golf;SUPERCAR;Diesel;Alto;Normal;2020;158087;Preto;Fosco;5;Pequeno;Pequeno;Sim;Manual;Dianteira;347;66388.84;"AssistenteEstacionamento;EcoMode;SOS;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Toyota;RAV4;CUV;Diesel;Alto;Normal;2018;95478;Vermelho;Fosco;5;Grande;Grande;Sim;Automática;Traseira;267;36884.55;"Autopilot;CruiseControl;GPS;EcoMode;SOS;PainelDigital";"ControleTração;Airbags;AssitenciaTrajetoria"
Mercedes;A-Class;Sedan;Elétrico;Sustentável;Baixo;2017;40828;Branco;Cromado;3;Pequeno;Grande;Sim;Manual;Dianteira;389;87356.93;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Toyota;Corolla;SUV;Diesel;Alto;Normal;2002;168224;Azul;Fosco;5;Grande;Grande;Não;Manual;Traseira;203;56348.15;"PainelDigital;AssistenteEstacionamento;CruiseControl;Autopilot;AssitenciaArranque;GPS;EcoMode;SOS";"Airbags;ABS;AssitenciaTrajetoria"
BMW;X5;CUV;Elétrico;Sustentável;Baixo;2022;40988;Vermelho;Metalico;3;Grande;Grande;Sim;Manual;4x4;584;79500.84;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Audi;A4;Sedan;Diesel;Alto;Normal;2019;69200;Verde;Fosco;3;Pequeno;Grande;Sim;Manual;Dianteira;343;84263.64;"Autopilot;CruiseControl;AssitenciaArranque;GPS;AssistenteEstacionamento;PainelDigital";"AssistenteTravagem;AssitenciaTrajetoria;ControleTração;ABS;Airbags"
Volkswagen;Golf;SUV;Gasolina;Baixo;Elevado;2005;154824;Azul;Fluorescente;3;Grande;Grande;Sim;Manual;Dianteira;416;81142.15;"PainelDigital;EcoMode;AssistenteEstacionamento;SOS";"AssitenciaTrajetoria;AssistenteTravagem;ABS;Airbags;ControleTração"
Volkswagen;Jetta;SUV;Gasolina;Baixo;Elevado;2008;159275;Branco;Cromado;5;Grande;Grande;Sim;Automática;Traseira;393;65958.12;"AssistenteEstacionamento;PainelDigital;AssitenciaArranque;CruiseControl;GPS;EcoMode";"AssistenteTravagem;AssitenciaTrajetoria;Airbags;ABS"
BMW;i8;Sedan;Diesel;Alto;Normal;2003;233145;Azul;Metalico;5;Pequeno;Grande;Não;Automática;Dianteira;151;40005.8;"AssistenteEstacionamento;CruiseControl;Autopilot;PainelDigital;SOS";"ControleTração;Airbags;AssistenteTravagem;AssitenciaTrajetoria;ABS"
Porsche;Taycan;SUPERCAR;Elétrico;Sustentável;Baixo;2020;52562;Verde;Prolado;5;Pequeno;Pequeno;Sim;Manual;Traseira;216;77706.19;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Ford;Escape;SUV;Elétrico;Sustentável;Baixo;2021;59377;Branco;Cromado;5;Grande;Grande;Sim;Manual;Traseira;529;102550.64;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Volkswagen;Jetta;COUPE;Diesel;Alto;Normal;2023;48064;Verde;Fluorescente;5;Pequeno;Pequeno;Sim;Manual;4x4;327;116971.3;"AssitenciaArranque;SOS;Autopilot;CruiseControl;GPS;EcoMode;PainelDigital";"AssistenteTravagem;Airbags;ControleTração;ABS"
Chevrolet;Malibu;Hatch Back;Elétrico;Sustentável;Baixo;2016;50047;Verde;Metalico;5;Pequeno;Grande;Sim;Manual;4x4;89;84008.35;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;E-Class;Sedan;Elétrico;Sustentável;Baixo;2017;42102;Vermelho;Fluorescente;3;Pequeno;Grande;Sim;Automática;4x4;220;81189.78;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Tesla;Model X;CUV;Diesel;Alto;Normal;2003;175217;Cinza;Metalico;5;Grande;Grande;Sim;Automática;Traseira;498;26119.52;"PainelDigital;CruiseControl;GPS;SOS;AssistenteEstacionamento;EcoMode;Autopilot;AssitenciaArranque";"AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem;ABS"
Honda;CR-V;SUV;Diesel;Alto;Normal;2017;62446;Azul;Metalico;5;Grande;Grande;Sim;Manual;Traseira;424;21666.37;"SOS;Autopilot;AssistenteEstacionamento;GPS;PainelDigital";"ABS;ControleTração;Airbags"
Toyota;Prius;COUPE;Gasolina;Baixo;Elevado;2003;231205;Prata;Cromado;3;Pequeno;Pequeno;Sim;Manual;Dianteira;321;118660.68;"SOS;PainelDigital;EcoMode;AssitenciaArranque;AssistenteEstacionamento;Autopilot";"Airbags;AssistenteTravagem;ABS;AssitenciaTrajetoria"
Honda;Civic;CUV;Diesel;Alto;Normal;2010;137343;Prata;Fluorescente;3;Grande;Grande;Sim;Manual;4x4;334;107828.35;"AssitenciaArranque;AssistenteEstacionamento;SOS;GPS;Autopilot;CruiseControl;EcoMode;PainelDigital";"ControleTração;ABS;AssitenciaTrajetoria;AssistenteTravagem;Airbags"
Volkswagen;Jetta;CUV;Diesel;Alto;Normal;2011;91659;Vermelho;Metalico;5;Grande;Grande;Sim;Automática;4x4;410;52857.36;"Autopilot;GPS;CruiseControl";"ControleTração;Airbags;AssistenteTravagem;AssitenciaTrajetoria;ABS"
Tesla;Model 3;SUPERCAR;Diesel;Alto;Normal;1998;211490;Verde;Metalico;3;Pequeno;Pequeno;Não;Automática;4x4;378;38660.87;"EcoMode;AssitenciaArranque;SOS;CruiseControl;Autopilot";"AssitenciaTrajetoria;Airbags;ControleTração"
Mercedes;GLC;CUV;Elétrico;Sustentável;Baixo;2019;38516;Vermelho;Fluorescente;5;Grande;Grande;Sim;Manual;Dianteira;453;81407.86;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;CR-V;Hatch Back;Gasolina;Baixo;Elevado;2023;35241;Preto;Metalico;3;Pequeno;Grande;Sim;Automática;Dianteira;379;59501.31;"CruiseControl;AssistenteEstacionamento;SOS;AssitenciaArranque;GPS;PainelDigital";"AssistenteTravagem;AssitenciaTrajetoria;ABS;ControleTração"
Porsche;Cayenne;CUV;Gasolina;Baixo;Elevado;2017;176242;Azul;Cromado;3;Grande;Grande;Sim;Manual;Traseira;547;45945.45;"GPS;EcoMode;CruiseControl";"ControleTração;AssitenciaTrajetoria;ABS"
Porsche;Cayenne;Sedan;Gasolina;Baixo;Elevado;2022;57363;Prata;Fosco;3;Pequeno;Grande;Sim;Manual;Dianteira;481;42330.12;"GPS;CruiseControl;AssistenteEstacionamento;Autopilot;EcoMode;SOS;AssitenciaArranque";"ControleTração;AssistenteTravagem;AssitenciaTrajetoria"
Ford;Escape;Hatch Back;Elétrico;Sustentável;Baixo;2019;54445;Prata;Metalico;3;Pequeno;Grande;Sim;Automática;Dianteira;157;81018.69;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Audi;A4;SUPERCAR;Gasolina;Baixo;Elevado;2007;243490;Cinza;Prolado;3;Pequeno;Pequeno;Sim;Manual;4x4;67;54287.18;"AssitenciaArranque;SOS;EcoMode;Autopilot;GPS;PainelDigital;CruiseControl";"ControleTração;ABS;AssitenciaTrajetoria;AssistenteTravagem"
Toyota;Prius;Hatch Back;Elétrico;Sustentável;Baixo;2016;56309;Cinza;Prolado;5;Pequeno;Grande;Sim;Manual;4x4;84;93543.67;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Porsche;Macan;SUV;Elétrico;Sustentável;Baixo;2020;38066;Verde;Cromado;3;Grande;Grande;Sim;Manual;4x4;255;52860.14;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;HR-V;Sedan;Gasolina;Baixo;Elevado;2017;94716;Cinza;Fosco;3;Pequeno;Grande;Sim;Manual;Traseira;183;19891.92;"AssitenciaArranque;SOS;GPS;EcoMode;CruiseControl;PainelDigital";"AssistenteTravagem;ABS;Airbags"
Chevrolet;Malibu;SUPERCAR;Elétrico;Sustentável;Baixo;2022;38713;Verde;Prolado;3;Pequeno;Pequeno;Sim;Automática;Dianteira;332;80591.41;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
